Periode,Tanggal,Jumlah_Ayam,Pakan_Pakai,PakanKarung,Jumlah_Ayam_Mati
1,19 April 2024,21000,1000,20,14
1,20 April 2024,20986,500,10,24
1,21 April 2024,20962,450,9,22
1,22 April 2024,20940,550,11,25
1,23 April 2024,20915,700,14,18
1,24 April 2024,20897,800,16,20
1,25 April 2024,20877,800,16,14
1,26 April 2024,20863,950,19,4
1,27 April 2024,20859,2100,42,8
1,28 April 2024,20851,1050,21,11
1,29 April 2024,20840,900,18,6
1,30 April 2024,20834,1600,32,9
1,1 May 2024,20825,1350,27,12
1,2 May 2024,20813,1650,33,8
1,3 May 2024,20805,1850,37,15
1,4 May 2024,20790,1850,37,9
1,5 May 2024,20781,2000,40,10
1,6 May 2024,20771,2000,40,10
1,7 May 2024,20761,2200,44,18
1,8 May 2024,20743,2550,51,7
1,9 May 2024,20736,2300,46,10
1,10 May 2024,20726,2350,47,5
1,11 May 2024,20721,2550,51,8
1,12 May 2024,20713,3250,65,4
1,13 May 2024,20709,3000,60,5
1,14 May 2024,20704,2550,51,15
1,15 May 2024,20689,2900,58,7
1,16 May 2024,20682,2650,53,2
1,17 May 2024,20680,2850,57,5
1,18 May 2024,20675,2750,55,9
1,19 May 2024,20666,2650,53,4
1,20 May 2024,20662,1300,26,12
1,21 May 2024,20650,1250,25,2
1,22 May 2024,20648,750,15,2
1,23 May 2024,0,0,0,0
2,11 June 2024,21000,1450,29,22
2,12 June 2024,20978,350,7,10
2,13 June 2024,20968,300,6,55
2,14 June 2024,20913,300,6,45
2,15 June 2024,20868,500,10,17
2,16 June 2024,20851,600,12,12
2,17 June 2024,20839,650,13,7
2,18 June 2024,20832,800,16,7
2,19 June 2024,20825,750,15,10
2,20 June 2024,20815,750,15,5
2,21 June 2024,20810,1650,33,11
2,22 June 2024,20799,1100,22,16
2,23 June 2024,20783,1150,23,21
2,24 June 2024,20762,1600,32,13
2,25 June 2024,20749,1600,32,14
2,26 June 2024,20735,1450,29,10
2,27 June 2024,20725,1750,35,25
2,28 June 2024,20700,1800,36,15
2,29 June 2024,20685,2050,41,10
2,30 June 2024,20675,2150,43,17
2,1 July 2024,20658,2200,44,24
2,2 July 2024,20634,2300,46,21
2,3 July 2024,20613,4800,96,14
2,4 July 2024,20599,1950,39,9
2,5 July 2024,20590,2600,52,13
2,6 July 2024,20577,2700,54,7
2,7 July 2024,20570,2400,48,7
2,8 July 2024,20563,2500,50,5
2,9 July 2024,20558,2700,54,7
2,10 July 2024,20551,2900,58,1
2,11 July 2024,20550,2600,52,6
2,12 July 2024,20544,2750,55,3
2,13 July 2024,20541,2850,57,3
2,14 July 2024,20538,2500,50,7
2,15 July 2024,20531,2350,47,5
2,16 July 2024,20526,550,11,11
2,17 July 2024,20515,650,13,16
2,18 July 2024,0,0,0,0
3,15 October 2024,21000,900,18,25
3,16 October 2024,20975,450,9,23
3,17 October 2024,20952,350,7,78
3,18 October 2024,20874,400,8,52
3,19 October 2024,20822,550,11,34
3,20 October 2024,20788,600,12,23
3,21 October 2024,20765,750,15,19
3,22 October 2024,20746,950,19,9
3,23 October 2024,20737,950,19,18
3,24 October 2024,20719,1000,20,16
3,25 October 2024,20703,2000,40,26
3,26 October 2024,20677,550,11,12
3,27 October 2024,20665,1450,29,15
3,28 October 2024,20650,1850,37,18
3,29 October 2024,20632,1700,34,17
3,30 October 2024,20615,1850,37,19
3,31 October 2024,20596,2150,43,23
3,1 November 2024,20573,2150,43,23
3,2 November 2024,20550,2150,43,26
3,3 November 2024,20524,2700,54,17
3,4 November 2024,20507,2650,53,19
3,5 November 2024,20488,2900,58,18
3,6 November 2024,20470,2950,59,18
3,7 November 2024,20452,2650,53,20
3,8 November 2024,20432,2250,45,22
3,9 November 2024,20410,2150,43,25
3,10 November 2024,20385,1950,39,20
3,11 November 2024,20365,1950,39,20
3,12 November 2024,20345,2050,41,20
3,13 November 2024,20325,2000,40,10
3,14 November 2024,20315,1500,30,25
3,15 November 2024,20290,950,19,137
3,16 November 2024,20153,250,5,80
3,17 November 2024,20073,150,3,19
3,18 November 2024,20054,250,5,6
3,19 November 2024,20048,350,7,1
3,20 November 2024,20047,200,4,2
3,21 November 2024,20045,150,3,2
3,24 November 2024,0,0,0,0
4,13 December 2024,18800,1000,20,28
4,14 December 2024,18772,400,8,18
4,15 December 2024,18754,300,6,29
4,16 December 2024,18725,500,10,60
4,17 December 2024,18665,400,8,53
4,18 December 2024,18612,550,11,30
4,19 December 2024,18582,650,13,20
4,20 December 2024,18562,950,19,20
4,21 December 2024,18542,800,16,22
4,22 December 2024,18520,1650,33,14
4,23 December 2024,18506,650,13,30
4,24 December 2024,18476,1150,23,15
4,25 December 2024,18461,1250,25,17
4,26 December 2024,18444,1600,32,18
4,27 December 2024,18426,1650,33,35
4,28 December 2024,18391,1550,31,18
4,29 December 2024,18373,1650,33,20
4,30 December 2024,18353,2000,40,18
4,31 December 2024,18335,2050,41,16
4,1 January 2025,18319,2100,42,22
4,2 January 2025,18297,2250,45,13
4,3 January 2025,18284,2450,49,16
4,4 January 2025,18268,2400,48,7
4,5 January 2025,18261,2400,48,10
