Periode,Tanggal,Jumlah_Ayam,Umur_Hari,Pakan_Pakai,Pakan_Pakai_karung,Jumlah_Ayam_Mati
1,19 April 2024,21.000,1,1.000,20,14
1,20 April 2024,20.986,2,500,10,24
1,21 April 2024,20.962,3,450,9,22
1,22 April 2024,20.940,4,550,11,25
1,23 April 2024,20.915,5,700,14,18
1,24 April 2024,20.897,6,800,16,20
1,25 April 2024,20.877,7,800,16,14
1,26 April 2024,20.863,8,950,19,4
1,27 April 2024,20.859,9,2.100,42,8
1,28 April 2024,20.851,10,1.050,21,11
1,29 April 2024,20.840,11,900,18,6
1,30 April 2024,20.834,12,1.600,32,9
1,1 May 2024,20.825,13,1.350,27,12
1,2 May 2024,20.813,14,1.650,33,8
1,3 May 2024,20.805,15,1.850,37,15
1,4 May 2024,20.790,16,1.850,37,9
1,5 May 2024,20.781,17,2.000,40,10
1,6 May 2024,20.771,18,2.000,40,10
1,7 May 2024,20.761,19,2.200,44,18
1,8 May 2024,20.743,20,2.550,51,7
1,9 May 2024,20.736,21,2.300,46,10
1,10 May 2024,20.726,22,2.350,47,5
1,11 May 2024,20.721,23,2.550,51,8
1,12 May 2024,20.713,24,3.250,65,4
1,13 May 2024,20.709,25,3.000,60,5
1,14 May 2024,20.704,26,2.550,51,15
1,15 May 2024,20.689,27,2.900,58,7
1,16 May 2024,20.682,28,2.650,53,2
1,17 May 2024,20.680,29,2.850,57,5
1,18 May 2024,20.675,30,2.750,55,9
1,19 May 2024,20.666,31,2.650,53,4
1,20 May 2024,20.662,32,1.300,26,12
1,21 May 2024,20.650,33,1.250,25,2
1,22 May 2024,20.648,34,750,15,2
1,23 May 2024,20.646,35,0,0,0
2,11 June 2024,21.000,1,1.450,29,22
2,12 June 2024,20.978,2,350,7,10
2,13 June 2024,20.968,3,300,6,55
2,14 June 2024,20.913,4,300,6,45
2,15 June 2024,20.868,5,500,10,17
2,16 June 2024,20.851,6,600,12,12
2,17 June 2024,20.839,7,650,13,7
2,18 June 2024,20.832,8,800,16,7
2,19 June 2024,20.825,9,750,15,10
2,20 June 2024,20.815,10,750,15,5
2,21 June 2024,20.810,11,1.650,33,11
2,22 June 2024,20.799,12,1.100,22,16
2,23 June 2024,20.783,13,1.150,23,21
2,24 June 2024,20.762,14,1.600,32,13
2,25 June 2024,20.749,15,1.600,32,14
2,26 June 2024,20.735,16,1.450,29,10
2,27 June 2024,20.725,17,1.750,35,25
2,28 June 2024,20.700,18,1.800,36,15
2,29 June 2024,20.685,19,2.050,41,10
2,30 June 2024,20.675,20,2.150,43,17
2,1 July 2024,20.658,21,2.200,44,24
2,2 July 2024,20.634,22,2.300,46,21
2,3 July 2024,20.613,23,4.800,96,14
2,4 July 2024,20.599,24,1.950,39,9
2,5 July 2024,20.590,25,2.600,52,13
2,6 July 2024,20.577,26,2.700,54,7
2,7 July 2024,20.570,27,2.400,48,7
2,8 July 2024,20.563,28,2.500,50,5
2,9 July 2024,20.558,29,2.700,54,7
2,10 July 2024,20.551,30,2.900,58,1
2,11 July 2024,20.550,31,2.600,52,6
2,12 July 2024,20.544,32,2.750,55,3
2,13 July 2024,20.541,33,2.850,57,3
2,14 July 2024,20.538,34,2.500,50,7
2,15 July 2024,20.531,35,2.350,47,5
2,16 July 2024,20.526,36,550,11,11
2,17 July 2024,20.515,37,650,13,16
2,18 July 2024,20.499,38,0,0,0
2,19 July 2024,20.499,39,0,0,0
2,20 July 2024,20.499,40,0,0,0
2,21 July 2024,20.499,41,0,0,0
3,15 October 2024,21.000,1,900,18,25
3,16 October 2024,20.975,2,450,9,23
3,17 October 2024,20.952,3,350,7,78
3,18 October 2024,20.874,4,400,8,52
3,19 October 2024,20.822,5,550,11,34
3,20 October 2024,20.788,6,600,12,23
3,21 October 2024,20.765,7,750,15,19
3,22 October 2024,20.746,8,950,19,9
3,23 October 2024,20.737,9,950,19,18
3,24 October 2024,20.719,10,1.000,20,16
3,25 October 2024,20.703,11,2.000,40,26
3,26 October 2024,20.677,12,550,11,12
3,27 October 2024,20.665,13,1.450,29,15
3,28 October 2024,20.650,14,1.850,37,18
3,29 October 2024,20.632,15,1.700,34,17
3,30 October 2024,20.615,16,1.850,37,19
3,31 October 2024,20.596,17,2.150,43,23
3,1 November 2024,20.573,18,2.150,43,23
3,2 November 2024,20.550,19,2.150,43,26
3,3 November 2024,20.524,20,2.700,54,17
3,4 November 2024,20.507,21,2.650,53,19
3,5 November 2024,20.488,22,2.900,58,18
3,6 November 2024,20.470,23,2.950,59,18
3,7 November 2024,20.452,24,2.650,53,20
3,8 November 2024,20.432,25,2.250,45,22
3,9 November 2024,20.410,26,2.150,43,25
3,10 November 2024,20.385,27,1.950,39,20
3,11 November 2024,20.365,28,1.950,39,20
3,12 November 2024,20.345,29,2.050,41,20
3,13 November 2024,20.325,30,2.000,40,10
3,14 November 2024,20.315,31,1.500,30,25
3,15 November 2024,20.290,32,950,19,137
3,16 November 2024,20.153,33,250,5,80
3,17 November 2024,20.073,34,150,3,19
3,18 November 2024,20.054,35,250,5,6
3,19 November 2024,20.048,36,350,7,1
3,20 November 2024,20.047,37,200,4,2
3,21 November 2024,20.045,38,150,3,2
3,22 November 2024,20.043,39,0,0,0
3,23 November 2024,20.043,40,0,0,0
3,24 November 2024,20.043,41,0,0,0
3,25 November 2024,20.043,42,0,0,0
4,13 December 2024,18.800,1,1.000,20,28
4,14 December 2024,18.772,2,400,8,18
4,15 December 2024,18.754,3,300,6,29
4,16 December 2024,18.725,4,500,10,60
4,17 December 2024,18.665,5,400,8,53
4,18 December 2024,18.612,6,550,11,30
4,19 December 2024,18.582,7,650,13,20
4,20 December 2024,18.562,8,950,19,20
4,21 December 2024,18.542,9,800,16,22
4,22 December 2024,18.520,10,1.650,33,14
4,23 December 2024,18.506,11,650,13,30
4,24 December 2024,18.476,12,1.150,23,15
4,25 December 2024,18.461,13,1.250,25,17
4,26 December 2024,18.444,14,1.600,32,18
4,27 December 2024,18.426,15,1.650,33,35
4,28 December 2024,18.391,16,1.550,31,18
4,29 December 2024,18.373,17,1.650,33,20
4,30 December 2024,18.353,18,2.000,40,18
4,31 December 2024,18.335,19,2.050,41,16
4,1 January 2025,18.319,20,2.100,42,22
4,2 January 2025,18.297,21,2.250,45,13
4,3 January 2025,18.284,22,2.450,49,16
4,4 January 2025,18.268,23,2.400,48,7
4,5 January 2025,18.261,24,2.400,48,10
4,6 January 2025,18.251,25,2.450,49,14
4,7 January 2025,18.237,26,2.700,54,9
4,8 January 2025,18.228,27,2.400,48,7
4,9 January 2025,18.221,28,2.250,45,8
4,10 January 2025,18.213,29,2.000,40,9
4,11 January 2025,18.204,30,1.900,38,8
4,12 January 2025,18.196,31,1.500,30,12
4,13 January 2025,18.184,32,1.800,36,5
4,14 January 2025,18.179,33,1.250,25,6
4,15 January 2025,18.173,34,0,0,0
4,16 January 2025,18.173,35,0,0,0
5,15 February 2025,20.000,1,900,18,35
5,16 February 2025,19.965,2,450,9,40
5,17 February 2025,19.925,3,350,7,81
5,18 February 2025,19.844,4,400,8,143
5,19 February 2025,19.701,5,500,10,56
5,20 February 2025,19.645,6,650,13,67
5,21 February 2025,19.578,7,750,15,12
5,22 February 2025,19.566,8,850,17,16
5,23 February 2025,19.550,9,1.000,20,24
5,24 February 2025,19.526,10,1.350,27,23
5,25 February 2025,19.503,11,1.050,21,21
5,26 February 2025,19.482,12,1.300,26,23
5,27 February 2025,19.459,13,1.650,33,20
5,28 February 2025,19.439,14,1.600,32,16
5,1 March 2025,19.423,15,1.750,35,27
5,2 March 2025,19.396,16,1.950,39,15
5,3 March 2025,19.381,17,1.950,39,19
5,4 March 2025,19.362,18,2.150,43,15
5,5 March 2025,19.347,19,2.300,46,10
5,6 March 2025,19.337,20,2.400,48,15
5,7 March 2025,19.322,21,2.700,54,12
5,8 March 2025,19.310,22,2.750,55,16
5,9 March 2025,19.294,23,2.650,53,17
5,10 March 2025,19.277,24,2.750,55,17
5,11 March 2025,19.260,25,0,0,0
5,12 March 2025,19.260,26,0,0,0
5,13 March 2025,19.260,27,0,0,0
5,14 March 2025,19.260,28,0,0,0
5,14 March 2025,19.260,29,0,0,0
5,15 March 2025,19.260,30,0,0,0
5,16 March 2025,19.260,31,0,0,0
5,17 March 2025,19.260,32,0,0,0
5,18 March 2025,19.260,33,0,0,0
5,19 March 2025,19.260,34,0,0,0
5,20 March 2025,19.260,35,0,0,0
