Periode,Tanggal,Jumlah_Ayam,Umur_Hari,Pakan_Masuk,Pakan_Pakai,Pakan_Sisa,Jumlah_Ayam_Mati
1,10 Juni 2025,21.000,1,140,20,120,"14"
1,11 Juni 2025,20.986,2,0,10,110,"24"
1,12 Juni 2025,20.962,3,0,9,101,"22"
1,13 Juni 2025,20.940,4,0,11,90,"25"
1,14 Juni 2025,20.915,5,0,14,76,"18"
1,15 Juni 2025,20.897,6,0,16,60,"20"
1,16 Juni 2025,20.877,7,0,16,44,"14"
1,17 Juni 2025,20.863,8,160,19,185,"4"
1,18 Juni 2025,20.859,9,0,42,143,"8"
3,19 Juni 2025,20.851,13,0,29,102,"15"
3,20 Juni 2025,20.836,14,0,37,65,"18"
3,21 Juni 2025,20.818,15,0,34,31,"17"
3,22 Juni 2025,20.801,16,160,37,154,"19"
3,23 Juni 2025,20.782,17,0,43,111,"23"
3,24 Juni 2025,20.759,18,0,43,68,"23"
3,25 Juni 2025,20.736,19,0,43,25,"26"
3,26 Juni 2025,20.710,20,0,54,131,"17"
3,27 Juni 2025,20.693,21,0,53,78,"19"
3,28 Juni 2025,20.674,22,160,58,220,"18"
3,,20.656,23,0,59,186,18
