Periode,tanggal,jumlah_ayam,Umur_Hari,Pakan_Masuk,pakan_pakai,Pakan_Pakai(karung),Pakan_Sisa,jumlah_ayam_mati
1,19 April 2024,21.0,1,140,1.0,20,120,14.0
1,20 April 2024,20.986,2,0,500.0,10,110,24.0
1,21 April 2024,20.962,3,0,450.0,9,101,22.0
1,22 April 2024,20.94,4,0,550.0,11,90,25.0
1,23 April 2024,20.915,5,0,700.0,14,76,18.0
1,24 April 2024,20.897,6,0,800.0,16,60,20.0
1,25 April 2024,20.877,7,0,800.0,16,44,14.0
1,26 April 2024,20.863,8,160,950.0,19,185,4.0
1,27 April 2024,20.859,9,0,2.1,42,143,8.0
1,28 April 2024,20.851,10,0,1.05,21,122,11.0
1,29 April 2024,20.84,11,0,900.0,18,104,6.0
1,30 April 2024,20.834,12,160,1.6,32,132,9.0
1,1 May 2024,20.825,13,0,1.35,27,205,12.0
1,2 May 2024,20.813,14,0,1.65,33,172,8.0
1,3 May 2024,20.805,15,0,1.85,37,135,15.0
1,4 May 2024,20.79,16,0,1.85,37,98,9.0
1,5 May 2024,20.781,17,0,2.0,40,58,10.0
1,6 May 2024,20.771,18,160,2.0,40,178,10.0
1,7 May 2024,20.761,19,0,2.2,44,134,18.0
1,8 May 2024,20.743,20,160,2.55,51,243,7.0
1,9 May 2024,20.736,21,0,2.3,46,197,10.0
1,10 May 2024,20.726,22,0,2.35,47,150,5.0
1,11 May 2024,20.721,23,160,2.55,51,269,8.0
1,12 May 2024,20.713,24,0,3.25,65,204,4.0
1,13 May 2024,20.709,25,0,3.0,60,134,5.0
1,14 May 2024,20.704,26,160,2.55,51,243,15.0
1,15 May 2024,20.689,27,99,2.9,58,248,7.0
1,16 May 2024,20.682,28,0,2.65,53,231,2.0
1,17 May 2024,20.68,29,0,2.85,57,174,5.0
1,18 May 2024,20.675,30,30,2.75,55,149,9.0
1,19 May 2024,20.666,31,0,2.65,53,96,4.0
1,20 May 2024,20.662,32,0,1.3,26,70,12.0
1,21 May 2024,20.65,33,0,1.25,25,45,2.0
1,22 May 2024,20.648,34,0,750.0,15,30,2.0
2,11 June 2024,21.0,1,160,1.45,29,131,22.0
2,12 June 2024,20.978,2,0,350.0,7,124,10.0
2,13 June 2024,20.968,3,0,300.0,6,118,55.0
2,14 June 2024,20.913,4,0,300.0,6,112,45.0
2,15 June 2024,20.868,5,0,500.0,10,102,17.0
2,16 June 2024,20.851,6,0,600.0,12,90,12.0
2,17 June 2024,20.839,7,0,650.0,13,77,7.0
2,18 June 2024,20.832,8,0,800.0,16,61,7.0
2,19 June 2024,20.825,9,0,750.0,15,46,10.0
2,20 June 2024,20.815,10,0,750.0,15,31,5.0
2,21 June 2024,20.81,11,0,1.65,33,158,11.0
2,22 June 2024,20.799,12,0,1.1,22,136,16.0
2,23 June 2024,20.783,13,0,1.15,23,113,21.0
2,24 June 2024,20.762,14,0,1.6,32,81,13.0
2,25 June 2024,20.749,15,0,1.6,32,49,14.0
2,26 June 2024,20.735,16,160,1.45,29,180,10.0
2,27 June 2024,20.725,17,0,1.75,35,145,25.0
2,28 June 2024,20.7,18,0,1.8,36,109,15.0
2,29 June 2024,20.685,19,80,2.05,41,148,10.0
2,30 June 2024,20.675,20,0,2.15,43,105,17.0
2,1 July 2024,20.658,21,0,2.2,44,61,24.0
2,2 July 2024,20.634,22,0,2.3,46,15,21.0
2,3 July 2024,20.613,23,160,4.8,96,106,14.0
2,4 July 2024,20.599,24,140,1.95,39,207,9.0
2,5 July 2024,20.59,25,0,2.6,52,155,13.0
2,6 July 2024,20.577,26,0,2.7,54,181,7.0
2,7 July 2024,20.57,27,90,2.4,48,142,7.0
2,8 July 2024,20.563,28,0,2.5,50,93,5.0
2,9 July 2024,20.558,29,60,2.7,54,99,7.0
2,10 July 2024,20.551,30,140,2.9,58,41,1.0
2,11 July 2024,20.55,31,0,2.6,52,129,6.0
2,12 July 2024,20.544,32,80,2.75,55,154,3.0
2,13 July 2024,20.541,33,80,2.85,57,177,3.0
2,14 July 2024,20.538,34,0,2.5,50,12,7.0
2,15 July 2024,20.531,35,0,2.35,47,80,5.0
2,16 July 2024,20.526,36,0,550.0,11,69,11.0
2,17 July 2024,20.515,37,0,650.0,13,56,16.0
3,15 October 2024,21.0,1,160,900.0,18,0,25.0
3,16 October 2024,20.975,2,0,450.0,9,0,23.0
3,17 October 2024,20.952,3,0,350.0,7,0,78.0
3,18 October 2024,20.874,4,0,400.0,8,0,52.0
3,19 October 2024,20.822,5,0,550.0,11,0,34.0
3,20 October 2024,20.788,6,0,600.0,12,0,23.0
3,21 October 2024,20.765,7,0,750.0,15,0,19.0
3,22 October 2024,20.746,8,0,950.0,19,0,9.0
3,23 October 2024,20.737,9,0,950.0,19,0,18.0
3,24 October 2024,20.719,10,160,1.0,20,0,16.0
3,25 October 2024,20.703,11,0,2.0,40,0,26.0
3,26 October 2024,20.677,12,0,550.0,11,0,12.0
3,27 October 2024,20.665,13,0,1.45,29,102,15.0
3,28 October 2024,20.65,14,0,1.85,37,65,18.0
3,29 October 2024,20.632,15,0,1.7,34,31,17.0
3,30 October 2024,20.615,16,160,1.85,37,154,19.0
3,31 October 2024,20.596,17,0,2.15,43,111,23.0
3,1 November 2024,20.573,18,0,2.15,43,68,23.0
3,2 November 2024,20.55,19,0,2.15,43,25,26.0
3,3 November 2024,20.524,20,0,2.7,54,131,17.0
3,4 November 2024,20.507,21,0,2.65,53,78,19.0
3,5 November 2024,20.488,22,160,2.9,58,220,18.0
3,6 November 2024,20.47,23,0,2.95,59,186,18.0
3,7 November 2024,20.452,24,0,2.65,53,133,20.0
3,8 November 2024,20.432,25,0,2.25,45,88,22.0
3,9 November 2024,20.41,26,160,2.15,43,205,25.0
3,10 November 2024,20.385,27,0,1.95,39,166,20.0
3,11 November 2024,20.365,28,0,1.95,39,127,20.0
3,12 November 2024,20.345,29,0,2.05,41,86,20.0
3,13 November 2024,20.325,30,0,2.0,40,46,10.0
3,14 November 2024,20.315,31,60,1.5,30,76,25.0
