Periode,tanggal,Jumlah_Ayam,Umur_Hari,Pakan_Pakai,Jumlah_Ayam_Mati
1,19 April 2025,2.0,1,20,14
1,20 April 2025,20.986,2,2,2
1,21 April 2025,20.962,3,9,22
1,22 April 2025,20.94,4,11,25
1,23 April 2025,20.915,5,14,18
1,24 April 2025,20.897,6,4,3
1,25 April 2025,20.877,7,16,14
1,26 April 2025,20.863,8,19,4
1,27 April 2025,20.859,9,42,8
1,28 April 2025,20.851,10,21,3
1,29 April 2025,20.84,11,4,6
1,30 April 2025,20.834,12,32,9
1,1 Mei 2025,20.825,13,27,12
1,2 Mei 2025,20.813,14,33,6
1,3 Mei 2025,20.805,15,4,15
1,4 Mei 2025,20.79,16,37,9
1,5 Mei 2025,20.781,17,40,10
1,6 Mei 2025,20.771,18,3,10
1,7 Mei 2025,20.761,19,44,18
1,8 Mei 2025,20.743,20,51,7
1,9 Mei 2025,20.736,21,46,2
1,10 Mei 2025,20.726,22,47,5
1,11 Mei 2025,20.721,23,2,8
1,12 Mei 2025,20.713,24,5,4
1,13 Mei 2025,20.709,25,60,5
1,14 Mei 2025,20.704,26,51,4
1,15 Mei 2025,20.689,27,6,7
1,16 Mei 2025,20.682,28,53,2
1,17 Mei 2025,20.68,29,2,5
1,18 Mei 2025,20.675,30,55,9
1,19 Mei 2025,20.666,31,1,4
1,20 Mei 2025,20.662,32,1,12
1,21 Mei 2025,20.65,33,1,2
1,22 Mei 2025,20.648,34,15,2
1,23 Mei 2025,20.646,35,0,0
2,11 June 2025,1.0,1,29,22
2,12 June 2025,20.978,2,7,10
2,13 June 2025,20.968,3,1,55
2,14 June 2025,20.913,4,6,45
2,15 June 2025,20.868,5,1,17
2,16 June 2025,20.851,6,12,1
2,17 June 2025,20.839,7,13,7
2,18 June 2025,20.832,8,1,7
2,19 June 2025,20.825,9,1,10
2,20 June 2025,20.815,10,15,5
2,21 June 2025,20.81,11,33,11
2,22 June 2025,20.799,12,22,16
2,23 June 2025,20.783,13,23,21
2,24 June 2025,20.762,14,32,13
2,25 June 2025,20.749,15,32,14
2,26 June 2025,20.735,16,29,10
2,27 June 2025,20.725,17,35,25
2,28 June 2025,20.7,18,36,15
2,29 June 2025,20.685,19,41,10
2,30 June 2025,20.675,20,43,17
2,31 June 2025,20.658,21,44,24
2,32 June 2025,20.634,22,46,21
2,33 June 2025,20.613,23,96,14
2,34 June 2025,20.599,24,39,9
2,35 June 2025,20.59,25,52,13
2,36 June 2025,20.577,26,54,7
2,37 June 2025,20.57,27,48,7
2,38 June 2025,20.563,28,50,5
2,39 June 2025,20.558,29,54,7
2,40 June 2025,20.551,30,58,1
2,41 June 2025,20.55,31,52,6
